Column1,欄1,Column3,Column4
全家便利商店,便利商店,22.593333,120.330558
統一超商,便利商店,22.593353,120.402212
統一超商,便利商店,22.593497,120.340686
統一超商,便利商店,22.593526,120.325365
統一超商,便利商店,22.593788,120.3287
萊爾富,便利商店,22.593988,120.342911
全家便利商店,便利商店,22.594107,120.324364
統一超商,便利商店,22.594306,120.334069
統一超商,便利商店,22.594668,120.334498
統一超商,便利商店,22.59473,120.330517
統一超商,便利商店,22.594743,120.359514
統一超商,便利商店,22.594979,120.307095
統一超商,便利商店,22.594979,120.307095
統一超商,便利商店,22.594979,120.307095
全家便利商店,便利商店,22.59508,120.330964
萊爾富,便利商店,22.595149,120.610476
萊爾富,便利商店,22.595423,120.327762
萊爾富,便利商店,22.595793,120.332129
統一超商,便利商店,22.596103,120.329413
全家便利商店,便利商店,22.596261,120.345378
萊爾富,便利商店,22.596373,120.327122
全家便利商店,便利商店,22.596492,120.327083
萊爾富,便利商店,22.596517,120.400925
統一超商,便利商店,22.596565,120.33338
來來超商,便利商店,22.596594,120.323404
萊爾富,便利商店,22.596638,120.400879
全家便利商店,便利商店,22.59671235,120.3387247
萊爾富,便利商店,22.597046,120.34273
統一超商,便利商店,22.597194,120.335049
統一超商,便利商店,22.597262,120.345907
統一超商,便利商店,22.598033,120.343583
統一超商,便利商店,22.598076,120.325064
統一超商,便利商店,22.5988,120.46659
統一超商,便利商店,22.599154,120.330784
統一超商,便利商店,22.599632,120.352668
萊爾富,便利商店,22.599883,120.559717
來來超商,便利商店,22.599895,120.39962
全家便利商店,便利商店,22.60012,120.33417
統一超商,便利商店,22.600275,120.330269
全家便利商店,便利商店,22.600609,120.330051
統一超商,便利商店,22.601047,120.417871
統一超商,便利商店,22.601052,120.339833
全家便利商店,便利商店,22.601216,120.33903
統一超商,便利商店,22.60136752,120.2759198
全家便利商店,便利商店,22.601542,120.338805
統一超商,便利商店,22.601735,120.335597
全家便利商店,便利商店,22.601803,120.341542
全家便利商店,便利商店,22.601803,120.341542
統一超商,便利商店,22.60186,120.326493
統一超商,便利商店,22.601884,120.397378
統一超商,便利商店,22.601904,120.39773
統一超商,便利商店,22.602067,120.302617
統一超商,便利商店,22.602071,120.326801
來來超商,便利商店,22.602166,120.407423
統一超商,便利商店,22.602229,120.46703
統一超商,便利商店,22.60235235,120.3506347
萊爾富,便利商店,22.602518,120.305326
統一超商,便利商店,22.602636,120.305889
來來超商,便利商店,22.602636,120.305889
萊爾富,便利商店,22.602636,120.305889
統一超商,便利商店,22.602734,120.332344
統一超商,便利商店,22.60276,120.305095
全家便利商店,便利商店,22.602889,120.396621
統一超商,便利商店,22.602978,120.334223
統一超商,便利商店,22.60301,120.39655
全家便利商店,便利商店,22.60301,120.39655
全家便利商店,便利商店,22.603048,120.328316
統一超商,便利商店,22.603247,120.396299
統一超商,便利商店,22.603393,120.334371
全家便利商店,便利商店,22.603488,120.337177
來來超商,便利商店,22.603524,120.337622
統一超商,便利商店,22.603545,120.273763
統一超商,便利商店,22.603753,120.560693
統一超商,便利商店,22.603952,120.323004
統一超商,便利商店,22.603969,120.329699
全家便利商店,便利商店,22.604149,120.33608
統一超商,便利商店,22.604246,120.30263
統一超商,便利商店,22.604349,120.309912
統一超商,便利商店,22.604625,120.562666
統一超商,便利商店,22.604786,120.393659
來來超商,便利商店,22.604786,120.393659
全家便利商店,便利商店,22.604786,120.393659
統一超商,便利商店,22.604831,120.325552
統一超商,便利商店,22.604894,120.325648
全家便利商店,便利商店,22.605107,120.327933
統一超商,便利商店,22.60511,120.304851
全家便利商店,便利商店,22.60511,120.304851
統一超商,便利商店,22.605264,120.563023
統一超商,便利商店,22.605275,120.272468
來來超商,便利商店,22.605278,120.330098
全家便利商店,便利商店,22.60546232,120.3957342
統一超商,便利商店,22.605529,120.31552
統一超商,便利商店,22.605567,120.330775
統一超商,便利商店,22.605583,120.315501
統一超商,便利商店,22.605653,120.393815
統一超商,便利商店,22.60572,120.332578
統一超商,便利商店,22.605986,120.30446
統一超商,便利商店,22.606018,120.327389
全家便利商店,便利商店,22.606091,120.328114
全家便利商店,便利商店,22.606218,120.310714
統一超商,便利商店,22.606245,120.310745
萊爾富,便利商店,22.606245,120.310745
來來超商,便利商店,22.606466,120.342048
萊爾富,便利商店,22.606466,120.342048
全家便利商店,便利商店,22.606769,120.311263
全家便利商店,便利商店,22.606873,120.314339
統一超商,便利商店,22.607073,120.320621
全家便利商店,便利商店,22.607224,120.323888
萊爾富,便利商店,22.607278,120.306674
統一超商,便利商店,22.607441,120.272676
統一超商,便利商店,22.607592,120.360783
統一超商,便利商店,22.607625,120.313308
統一超商,便利商店,22.608194,120.31269
統一超商,便利商店,22.608215,120.389661
全家便利商店,便利商店,22.608499,120.341604
全家便利商店,便利商店,22.608617,120.312791
全家便利商店,便利商店,22.608713,120.329044
全家便利商店,便利商店,22.608739,120.329248
統一超商,便利商店,22.60874,120.330435
全家便利商店,便利商店,22.608791,120.389405
萊爾富,便利商店,22.608895,120.394216
統一超商,便利商店,22.60891235,120.3324947
統一超商,便利商店,22.60894,120.324685
萊爾富,便利商店,22.609013,120.335564
統一超商,便利商店,22.609084,120.303534
全家便利商店,便利商店,22.609173,120.33824
統一超商,便利商店,22.609236,120.334209
萊爾富,便利商店,22.609236,120.334209
統一超商,便利商店,22.609282,120.334744
來來超商,便利商店,22.609379,120.388307
全家便利商店,便利商店,22.609406,120.315376
統一超商,便利商店,22.609623,120.314854
統一超商,便利商店,22.609697,120.303281
來來超商,便利商店,22.609744,120.344349
統一超商,便利商店,22.609798,120.341795
全家便利商店,便利商店,22.609803,120.317293
全家便利商店,便利商店,22.609876,120.317329
全家便利商店,便利商店,22.610045,120.344297
統一超商,便利商店,22.610075,120.342432
統一超商,便利商店,22.610078,121.005702
全家便利商店,便利商店,22.610141,120.337426
統一超商,便利商店,22.610203,120.337633
統一超商,便利商店,22.610216,120.337696
全家便利商店,便利商店,22.610262,120.315277
統一超商,便利商店,22.610334,120.312487
全家便利商店,便利商店,22.610334,120.312487
統一超商,便利商店,22.610345,120.30521
統一超商,便利商店,22.610423,120.337646
全家便利商店,便利商店,22.610463,120.392772
統一超商,便利商店,22.610563,120.306302
統一超商,便利商店,22.610688,120.31392
全家便利商店,便利商店,22.610688,120.31392
來來超商,便利商店,22.610695,120.311755
全家便利商店,便利商店,22.610695,120.311755
統一超商,便利商店,22.610859,120.341431
統一超商,便利商店,22.6108905,121.0054327
全家便利商店,便利商店,22.6108905,121.0054327
統一超商,便利商店,22.610957,120.310828
統一超商,便利商店,22.611035,120.346875
統一超商,便利商店,22.611036,120.310924
統一超商,便利商店,22.611083,120.333052
統一超商,便利商店,22.611233,120.566267
全家便利商店,便利商店,22.611297,120.568657
統一超商,便利商店,22.611383,120.300924
萊爾富,便利商店,22.611394,120.41321
全家便利商店,便利商店,22.611401,120.56872
全家便利商店,便利商店,22.611434,120.568815
全家便利商店,便利商店,22.611448,120.304286
全家便利商店,便利商店,22.611448,120.304286
統一超商,便利商店,22.611455,120.3012
來來超商,便利商店,22.61154235,120.3094647
統一超商,便利商店,22.611546,120.300165
來來超商,便利商店,22.611546,120.300165
萊爾富,便利商店,22.611581,120.30162
統一超商,便利商店,22.611586,120.566421
全家便利商店,便利商店,22.611599,120.300842
統一超商,便利商店,22.611601,120.267884
統一超商,便利商店,22.611621,120.300837
萊爾富,便利商店,22.611658,120.325237
全家便利商店,便利商店,22.611664,120.267617
全家便利商店,便利商店,22.61169,120.301891
全家便利商店,便利商店,22.611796,120.325224
全家便利商店,便利商店,22.611816,120.300769
全家便利商店,便利商店,22.611836,120.268062
全家便利商店,便利商店,22.61185,120.324893
全家便利商店,便利商店,22.611861,120.298863
萊爾富,便利商店,22.61194235,120.3301247
全家便利商店,便利商店,22.61196,120.311398
統一超商,便利商店,22.61206939,120.5668973
統一超商,便利商店,22.6121,120.344198
萊爾富,便利商店,22.612105,120.300764
統一超商,便利商店,22.612113,120.311394
統一超商,便利商店,22.61212235,120.2987047
全家便利商店,便利商店,22.612144,120.332977
來來超商,便利商店,22.612162,120.485366
全家便利商店,便利商店,22.612186,120.303572
統一超商,便利商店,22.612237,120.324909
全家便利商店,便利商店,22.612305,120.307854
統一超商,便利商店,22.612566,120.300864
全家便利商店,便利商店,22.612613,120.339605
全家便利商店,便利商店,22.61262,120.308065
統一超商,便利商店,22.612665,120.301166
全家便利商店,便利商店,22.612701,120.321094
全家便利商店,便利商店,22.612752,120.344146
萊爾富,便利商店,22.612771,120.390087
統一超商,便利商店,22.61284,120.345835
全家便利商店,便利商店,22.612945,120.300368
統一超商,便利商店,22.612954,120.302564
統一超商,便利商店,22.612986,120.394752
統一超商,便利商店,22.613211,120.306606
全家便利商店,便利商店,22.613227,120.34909
統一超商,便利商店,22.613256,120.306492
統一超商,便利商店,22.6134258,121.0069036
統一超商,便利商店,22.613474,120.349067
全家便利商店,便利商店,22.613514,120.29824
統一超商,便利商店,22.61353,120.404381
萊爾富,便利商店,22.613654,120.407759
統一超商,便利商店,22.613789,120.305332
統一超商,便利商店,22.613789,120.305332
統一超商,便利商店,22.613966,120.269525
全家便利商店,便利商店,22.614086,120.405885
統一超商,便利商店,22.614087,120.322819
萊爾富,便利商店,22.614204,120.347601
全家便利商店,便利商店,22.614307,120.309004
統一超商,便利商店,22.614343,120.349469
全家便利商店,便利商店,22.614372,120.299444
統一超商,便利商店,22.614436,120.388684
來來超商,便利商店,22.614642,120.309116
全家便利商店,便利商店,22.614696,120.308647
全家便利商店,便利商店,22.6147,120.387817
統一超商,便利商店,22.614786,120.31166
全家便利商店,便利商店,22.614869,120.306686
統一超商,便利商店,22.614908,120.347631
統一超商,便利商店,22.614962,120.30271
全家便利商店,便利商店,22.614984,120.315688
統一超商,便利商店,22.615103,120.306885
統一超商,便利商店,22.615103,120.306885
來來超商,便利商店,22.615103,120.306885
全家便利商店,便利商店,22.615151,120.32537
統一超商,便利商店,22.615158,120.312018
統一超商,便利商店,22.615187,120.302477
來來超商,便利商店,22.615442,120.321145
統一超商,便利商店,22.615466,120.568291
全家便利商店,便利商店,22.615466,120.568291
全家便利商店,便利商店,22.615483,120.345839
統一超商,便利商店,22.61560072,121.0075749
統一超商,便利商店,22.61560072,121.0075749
統一超商,便利商店,22.615614,120.296892
萊爾富,便利商店,22.615636,120.307226
統一超商,便利商店,22.615742,120.304204
全家便利商店,便利商店,22.615783,120.297332
統一超商,便利商店,22.615843,120.348345
全家便利商店,便利商店,22.615877,120.309344
全家便利商店,便利商店,22.615917,120.308077
統一超商,便利商店,22.61596,120.569959
統一超商,便利商店,22.616089,120.349099
統一超商,便利商店,22.616141,120.300947
統一超商,便利商店,22.616209,120.46879
全家便利商店,便利商店,22.616368,120.308368
統一超商,便利商店,22.616376,120.468292
全家便利商店,便利商店,22.616377,120.30214
統一超商,便利商店,22.616451,120.306092
全家便利商店,便利商店,22.616473,120.307928
全家便利商店,便利商店,22.61674,120.343494
統一超商,便利商店,22.616754,120.324996
萊爾富,便利商店,22.616813,120.325774
全家便利商店,便利商店,22.616882,120.298401
全家便利商店,便利商店,22.616894,120.325985
全家便利商店,便利商店,22.616924,120.468495
統一超商,便利商店,22.616984,120.312605
萊爾富,便利商店,22.616988,120.385064
統一超商,便利商店,22.617015,120.308049
統一超商,便利商店,22.617081,120.565552
統一超商,便利商店,22.617088,120.318031
統一超商,便利商店,22.617132,120.311769
萊爾富,便利商店,22.617149,120.385313
全家便利商店,便利商店,22.61718,120.29821
統一超商,便利商店,22.617217,120.307623
全家便利商店,便利商店,22.617228,120.318461
統一超商,便利商店,22.617263,120.315262
萊爾富,便利商店,22.617263,120.315262
統一超商,便利商店,22.617332,120.336408
萊爾富,便利商店,22.617332,120.336408
統一超商,便利商店,22.617406,120.315692
統一超商,便利商店,22.61766235,120.3103047
統一超商,便利商店,22.617684,120.385758
統一超商,便利商店,22.617749,120.298619
全家便利商店,便利商店,22.618033,120.353819
全家便利商店,便利商店,22.618104,120.295972
統一超商,便利商店,22.618219,120.3025
萊爾富,便利商店,22.61831235,120.3875347
統一超商,便利商店,22.618321,120.293736
全家便利商店,便利商店,22.618353,120.332176
統一超商,便利商店,22.618407,120.334645
來來超商,便利商店,22.618407,120.334645
統一超商,便利商店,22.618452,120.470899
來來超商,便利商店,22.618558,120.313599
統一超商,便利商店,22.618681,120.355159
萊爾富,便利商店,22.618903,120.383231
